"att1","att2","att3","att4","att5","att6","att7","att8","att9","att10","att11","att12"
1,0.008534,1.2842,0.15727,0.17147,0.15515,1.0015,0.14863,0.77469,0.24487,0.19692,1
2,0.002396,1.2752,0.013321,0.20409,0.011022,0.98506,0.16264,0.94581,0.10758,0.19727,1
2,0.007048,0.9334,0.13692,-0.041394,0.024539,0.9845,0.18117,0.58011,0.25264,0.18758,1
3,0.000373,1.1487,0.037113,0.10869,0.013079,0.75149,0.049189,0.83961,0.11007,0.059626,1
3,0.000792,1.0015,0.013812,0.001336,0.011955,0.65263,0.028559,0.89008,0.021594,0.0314,1
3,-0.031247,0.83269,-0.07682,-0.15978,0.011122,1.4858,0.040374,0.79525,-0.024094,0.043102,1
3,-0.002145,0.88246,-0.11043,-0.071756,0.014277,0.39907,0.094236,0.53871,0.21271,0.1201,1
3,0.022325,0.53457,0.073952,-0.31078,0.059745,0.85127,0.043693,0.35695,0.4962,0.043693,1
3,-1.8557,0.25397,-2.027,-2.0741,-0.14736,0.043713,0.004357,0.70609,-0.64718,0.004441,1
4,-0.087169,0.66467,-0.10064,-0.07523,-0.087649,0.33669,0.063712,0.14912,0.85462,0.096174,1
5,-0.34464,0.19114,-0.28986,-0.65156,-0.016122,1.0233,0.037042,0.15397,-0.19518,0.051588,1
5,-0.27513,0.25777,-0.59011,-0.36724,-0.015733,0.17958,0.025882,0.12754,-0.35217,0.050497,1
5,-0.82947,0.25352,-0.95311,-1.2448,0.002718,0.94733,0.023248,0.42277,-0.42372,0.023746,1
5,0.004834,0.59641,-0.20051,-0.28791,-0.043339,1.0191,0.071702,0.42546,0.20336,0.072414,1
5,-0.018401,0.41606,-0.22181,-0.59867,0.004853,0.83886,0.094459,0.42656,-0.16507,0.098661,1
5,-0.12773,0.75061,-0.24754,-0.19065,-0.008601,0.52295,0.049578,0.5738,0.054194,0.058123,1
5,-0.022466,0.39144,-0.56422,-0.76422,0.00928,1.0814,0.032158,0.49158,-0.27086,0.033155,1
6,-0.033691,0.57105,-0.05166,-0.17888,0.010344,0.93591,0.045351,0.23814,0.061854,0.087647,1
6,-1.6124,0.006456,-40.785,-26.017,-0.25647,0.6521,0.001431,0.16905,-0.96296,0.001431,1
6,-0.004072,0.63769,-0.24219,-0.31384,0.034644,0.67597,0.043295,0.55237,-0.013939,0.047548,1
6,0.012033,0.51349,-0.28355,-0.32342,0.034373,0.59106,0.079029,0.34135,-0.15537,0.13334,1
6,0.008204,1.3763,-0.01105,0.18407,0.034725,0.77876,0.056753,0.67326,0.023096,0.10876,1
6,-0.062257,1.3871,-0.053462,0.22323,-0.040948,1.4617,0.46854,0.79992,0.45281,0.47137,1
6,0.001399,0.94965,-0.004995,-0.042168,0.022975,1.0382,0.099419,0.79541,0.096368,0.10591,1
6,-0.31102,0.12999,-1.2469,-1.076,-0.062452,1.008,0.037063,0.16076,-0.20441,0.037063,1
6,0.020363,1.2148,-0.17117,0.12483,0.15021,2.777,0.286756,0.70606,0.28854,0.333621,1
6,-1.1216,0.68824,-0.9995,-0.31471,-0.14422,1.3661,0.077633,0.69475,-0.46083,0.11635,1
6,-0.035562,0.63255,-0.086896,-0.32611,0.026889,1.8047,0.1012,0.56139,0.006045,0.11076,1
6,-0.099917,0.34413,-0.12344,-0.44574,-0.021704,1.4886,0.064089,0.23388,-0.031024,0.094066,1
6,-0.10489,1.7569,-0.46192,0.17162,-0.11824,0.48571,0.41925,0.39838,1.3916,0.59629,1
6,-0.17872,1.4554,-0.27397,0.21165,-0.052976,0.69821,0.070757,0.67642,0.23154,0.11385,1
6,-0.002883,0.63283,-0.09448,-0.33913,0.011182,1.2015,0.070347,0.58449,0.015538,0.074597,1
6,-3.3847,0.50634,-3.2673,-0.54454,0.13461,2.0026,0.032437,0.55852,-0.62422,0.069061,1
6,-0.00417,0.39708,-0.033861,-0.48003,0.014871,0.84275,0.004586,0.31615,0.1045,0.005174,1
7,-1.9126,0.30535,-1.8949,-1.803,0.02945,1.5006,0.050541,0.79254,-0.64265,0.050661,1
7,-0.053242,1.0051,-0.13711,0.003056,-0.003122,0.45391,0.286756,0.59751,0.10344,0.333621,1
7,-0.13938,0.31735,-0.50634,-0.63204,-0.069866,1.1552,0.04277,0.29382,-0.14881,0.049648,1
7,-0.066978,0.22915,-0.077174,-0.68708,0.004445,0.39855,0.013905,0.20424,-0.030331,0.015645,1
7,-0.88888,0.24343,-0.96678,-1.1388,-0.034485,1.0812,0.046782,0.36641,-0.427,0.047123,1
7,-0.060158,0.2466,-0.091749,-0.53572,0.003888,0.32446,0.286756,0.17535,0.02924,0.333621,1
7,-0.041287,0.14385,-0.11848,-0.76814,-0.003934,0.7334,0.047043,0.12906,-0.08843,0.054113,1
7,-0.24563,0.93188,0.047096,-0.030205,-0.090115,0.6348,0.13488,0.41321,0.8853,0.16082,1
7,-0.17231,0.26418,-0.078472,-0.32957,0.000483,0.7923,0.067788,0.11833,0.45275,0.096175,1
8,-0.12053,0.50952,-0.26809,-0.46025,0.021771,1.1295,0.035923,0.47812,-0.069336,0.037367,1
8,-0.44285,1.1474,-0.31019,0.062992,-0.13457,0.35505,0.286756,0.49034,0.84751,0.333621,1
8,-0.29147,0.086768,-0.32436,-0.41964,0.026535,0.23269,0.022641,0.039871,-0.15064,0.051462,1
8,-0.12174,0.36377,-0.7975,-0.70059,-0.004114,0.53878,0.061021,0.40058,-0.22011,0.061021,1
8,0.21099,1.3919,-0.053051,0.21382,-0.13608,1.5421,0.30442,0.75943,0.12987,0.30442,1
8,0.00222,1.0713,-0.18574,0.033712,0.032889,1.4127,0.0245,0.50682,0.12313,0.038929,1
8,-0.20459,0.77549,-0.25378,-0.059366,-0.15941,0.37559,0.073605,0.20506,0.28285,0.14043,1
8,0.028216,1.2679,0.1197,0.15665,0.069309,1.0974,0.11703,0.74135,0.33174,0.13424,1
8,0.10688,1.3805,0.27705,0.20408,0.19248,0.86766,0.27474,0.74046,0.68556,0.30156,1
8,0.001883,0.30403,-0.026552,-0.48927,0.024253,1.3091,0.286756,0.21374,0.24241,0.333621,1
8,0.002236,0.78142,-0.025425,-0.20719,0.04335,0.76503,0.037958,0.74073,0.002531,0.039517,1
8,0.00567,0.84081,0.13583,-0.059491,0.024619,2.1285,0.286756,0.31423,0.26114,0.333621,1
8,-0.16272,0.54902,-0.14652,-0.31554,-0.032346,0.74956,0.1251,0.38414,0.16138,0.12678,1
9,0.003847,0.68054,0.014944,-0.09776,0.03315,0.69616,0.286756,0.20826,0.061543,0.333621,1
9,-1.0839,0.47435,-0.71282,-0.46075,-0.30837,1.5193,0.11298,0.41579,-0.44067,0.22672,1
9,-0.2725,0.53273,-0.26684,-0.46119,-0.033448,1.0833,0.079547,0.52581,-0.099952,0.085484,1
9,-0.042634,0.20494,-0.27258,-0.76393,-0.004432,0.33822,0.063765,0.19692,-0.01202,0.06469,1
9,1.8404,1.1508,-0.21954,0.058704,0.090085,1.2257,0.61138,0.44804,0.039187,0.61906,1
10,-0.15422,0.67089,-0.25773,-0.27728,-0.10824,0.84655,0.020975,0.56523,0.005546,0.02269,1
10,-0.13765,0.44983,-0.025325,-0.41688,0.009999,0.42411,0.15608,0.34084,0.14558,0.15843,1
11,0.012969,1.2505,0.010857,0.1895,0.029636,1.8858,0.16325,0.94601,0.11315,0.18858,1
11,-0.000977,1.4127,0.049908,0.22683,0.018345,0.6895,0.43371,0.77648,0.57656,0.49277,1
11,-0.069136,0.89149,-0.03974,-0.070773,0.001685,1.489,0.06093,0.58144,0.16573,0.070571,1
11,-0.10103,0.96817,0.075981,-0.022944,-0.06192,0.92371,0.088945,0.69796,0.18874,0.094435,1
11,0.002012,1.149,0.06297,0.10232,0.015412,1.378,0.067096,0.78916,0.17388,0.07302,1
11,-0.15098,0.95189,-0.13978,-0.040911,-0.007671,1.4349,0.28527,0.80947,0.052604,0.29394,1
11,-0.045718,1.266,0.022948,0.13069,0.007709,0.83838,0.026909,0.62205,0.64296,0.032919,1
11,0.11398,1.2035,-0.29112,0.074883,-0.043034,0.73807,0.11625,0.4428,0.56234,0.11783,1
11,-0.017978,1.4429,0.060198,0.27076,0.002343,0.96977,0.03783,0.88204,0.21173,0.050738,1
11,-0.36648,0.88464,-0.19397,-0.055068,-0.17781,0.33425,0.05049,0.42228,0.46973,0.070978,1
12,-0.91354,0.50476,-0.86381,-0.82453,-0.49351,1.3048,0.087017,0.84038,-0.41566,0.087017,1
12,0.007596,0.70984,-0.13478,-0.17638,-0.018805,1.8208,0.020227,0.4315,0.3858,0.021487,1
12,-1.6425,0.34157,-1.5338,-0.87115,-0.08033,1.7115,0.074788,0.45192,-0.53366,0.10921,1
1,-0.004833,1.8518,0.18142,0.28856,-0.035882,0.81902,0.33523,0.62733,1.1926,0.40119,2
2,0.005061,1.391,0.086697,0.16591,-0.002557,0.85388,0.14224,0.59019,0.72554,0.19224,2
2,0.073731,1.0767,-0.024882,0.049892,-0.02065,1.0293,0.17405,0.70063,0.26582,0.19912,2
3,0.002696,1.4752,0.12697,0.24324,0.030611,0.85064,0.20269,0.75515,0.56308,0.23265,2
3,0.022109,1.1651,0.23683,0.098572,0.057811,1.5781,0.12035,0.69577,0.50984,0.12992,2
3,0.011271,1.2309,0.12161,0.085335,0.037422,0.81097,0.10323,0.45492,0.38558,0.1916,2
3,0.00268,0.3776,0.15729,-0.31712,0.010316,0.69293,0.17822,0.19239,0.48665,0.23113,2
3,0.010424,1.3144,0.1278,0.10289,0.024807,1.5911,0.12945,0.43017,0.42317,0.2672,2
3,0.022049,1.8401,0.029276,0.28627,0.030202,1.3561,0.33873,0.62702,1.406,0.39804,2
4,0.007219,1.031,0.11424,0.022674,0.023599,1.7165,0.19631,0.75357,0.33171,0.20103,2
5,-0.030171,1.9535,0.017406,0.25587,-0.075718,0.57731,0.75169,0.52422,1.4856,0.95892,2
5,0.056143,1.1841,0.39618,0.061046,0.11065,0.87622,0.28072,0.39271,1.2287,0.33381,2
5,0.014197,0.96695,0.041657,-0.017352,0.043819,0.74614,0.33718,0.50771,0.3815,0.43207,2
5,-0.001859,0.99051,-0.012718,-0.006724,0.004991,1.6367,0.090646,0.70217,0.061842,0.11836,2
5,0.005973,1.0661,0.063019,0.04279,0.028035,1.2027,0.17293,0.6905,0.21709,0.19944,2
5,-0.013926,0.96617,0.13074,-0.017247,0.016464,0.63139,0.14202,0.49256,0.34726,0.18213,2
5,0.001095,1.1369,0.001187,0.069302,0.002924,1.8306,0.079523,0.57551,0.061989,0.14422,2
6,0.014928,1.4589,0.30582,0.20532,0.04878,0.85594,0.13152,0.65274,0.68022,0.14111,2
6,0.033507,1.5454,0.3996,0.16086,0.10425,1.208,0.45331,0.45581,1.605,0.46557,2
6,-0.067145,1.2125,0.006813,0.10667,-0.039035,0.604,0.1539,0.60873,0.30348,0.22922,2
6,-0.013282,1.1323,0.16673,0.062934,0.015325,1.0939,0.13156,0.53852,0.28466,0.16219,2
6,-0.006767,0.74008,0.14446,-0.051465,0.020505,0.56444,0.093106,0.14654,0.97567,0.21134,2
6,0.011842,0.56251,0.17606,-0.24054,0.055694,0.86678,0.27054,0.30928,0.27558,0.33182,2
6,-0.10748,0.60653,-0.10629,-0.30531,-0.058949,0.81859,0.044606,0.47063,0.0481,0.048511,2
6,0.011045,1.6315,0.36278,0.15679,0.052061,1.1581,0.29486,0.40508,0.83931,0.39867,2
6,-0.10244,2.5435,0.1497,0.36401,0.016428,0.91381,0.67017,0.59984,0.81824,0.68825,2
6,0.034556,1.311,0.20683,0.19604,0.09402,1.5578,0.286756,0.82648,0.43669,0.333621,2
6,0.021917,2.9415,0.30775,0.28912,0.047322,0.53921,0.29676,0.43803,2.0373,0.55505,2
6,-0.02036,1.1839,0.27147,0.064062,0.048333,0.83377,0.286756,0.41244,1.1731,0.333621,2
6,0.050612,1.5529,0.31561,0.15908,0.11095,1.2467,0.24815,0.44681,0.80497,0.44393,2
6,0.010509,1.0821,0.13947,0.028542,-0.001557,0.61339,0.12689,0.37636,0.53303,0.20962,2
6,0.018624,1.3577,0.12206,0.13142,0.040826,1.1822,0.10548,0.49881,0.95893,0.13635,2
6,0.000185,2.5982,0.075183,0.45323,0.026328,0.65996,0.78042,0.73681,1.9845,0.84701,2
6,0.01983,1.6541,0.46028,0.19146,0.057684,0.90077,0.38301,0.48417,1.7993,0.42986,2
7,0.015944,1.1864,0.12792,0.070504,0.059021,1.2535,0.095358,0.44877,1.1364,0.10209,2
7,0.025857,2.8066,0.33632,0.39815,0.04424,0.74648,1.0982,0.61854,1.4049,1.5469,2
7,0.002268,1.437,0.26415,0.14132,0.021984,1.1547,0.286756,0.46471,0.5477,0.333621,2
7,-0.087381,1.1717,0.17645,0.058348,0.04881,0.9878,0.23234,0.39815,0.63956,0.39722,2
7,0.059239,0.93742,0.24092,-0.018665,0.13758,1.4422,0.10718,0.27962,0.63717,0.2102,2
7,-0.005509,0.83396,0.07069,-0.078627,0.043887,0.84458,0.060599,0.39493,0.27361,0.090447,2
7,0.000924,1.0689,0.05631,0.053468,0.003857,0.90329,0.2508,0.82964,0.13331,0.26003,2
7,0.002839,0.83525,0.024597,-0.089439,0.060076,0.98986,0.092068,0.45343,0.29812,0.11992,2
7,0.00144,1.9537,0.1044,0.2622,0.018804,0.80132,0.21625,0.53713,1.0522,0.21987,2
8,0.024663,8.7813,0.83515,0.55228,0.052336,0.39045,3.8076,0.62326,8.0495,3.8076,2
8,0.01503,1.398,0.31664,0.12276,0.062497,1.0235,0.23776,0.43121,0.7287,0.28129,2
8,0.009094,1.4099,0.28132,0.21576,0.030392,1.997,0.25194,0.74207,0.67398,0.25194,2
8,0.028322,1.2637,0.41279,0.10122,0.075615,1.0924,0.286756,0.48512,0.94922,0.333621,2
8,0.000821,2.1154,0.25341,0.34601,0.000523,0.51995,0.34926,0.65623,1.5188,0.42293,2
8,-0.012494,2.0075,0.30588,0.31247,0.026608,1.2469,0.286756,0.62263,1.4368,0.333621,2
8,0.002302,2.4102,0.22502,0.31266,0.008596,1.011,0.286756,0.53438,1.6338,0.333621,2
8,0.10253,4.1576,-0.002037,0.49072,0.005066,0.83814,1.4552,0.64612,4.3253,1.4552,2
8,-0.003427,0.92452,-0.003762,-0.05609,0.003803,1.4345,0.286756,0.68699,0.152,0.333621,2
8,0.013759,0.88868,0.21808,-0.045938,0.035518,1.3915,0.1987,0.36672,0.44161,0.27835,2
8,0.040509,1.5643,0.31103,0.21745,0.13282,1.7489,0.43017,0.60279,1.2424,0.43607,2
8,0.014367,1.5257,0.16126,0.10491,0.037061,0.6237,0.42158,0.30446,2.2515,0.54187,2
8,0.003798,0.97453,0.11149,-0.019736,0.012624,1.875,0.286756,0.75508,0.19014,0.333621,2
9,0.052903,1.2229,0.32008,0.082549,0.087165,1.5187,0.286756,0.45287,0.66853,0.333621,2
9,0.015576,0.8367,0.11104,-0.081092,0.012124,1.7276,0.22278,0.4155,0.48781,0.25109,2
9,0.10771,2.5091,0.5879,0.44255,0.21387,1.9677,0.286756,0.7358,2.4048,0.333621,2
9,0.04589,3.4153,0.38119,0.4481,0.083239,0.65878,1.4625,0.63363,1.5237,1.9803,2
9,0.016914,1.682,0.2725,0.21073,0.061006,0.69571,0.39451,0.5197,1.0937,0.50439,2
10,0.008418,1.5476,0.31346,0.099922,0.022222,0.52941,0.30456,0.28241,1.9292,0.43782,2
10,0.051237,4.069,0.14366,0.57589,0.11988,1.0438,0.286756,0.76353,3.2522,0.333621,2
11,0.013457,0.84428,-0.024472,-0.079401,0.005121,0.43565,0.054986,0.4305,0.38563,0.07386,2
11,0.045065,4.1569,0.56421,0.46205,0.088453,1.1848,1.6716,0.60841,4.8213,1.6901,2
11,0.022046,1.6131,0.45659,0.22869,0.071651,1.5869,0.037219,0.60173,1.3685,0.037259,2
11,-0.11291,1.3746,-0.06,0.074469,-0.050279,0.42972,0.31214,0.27324,0.65768,0.78527,2
11,-0.084624,4.3816,0.47475,0.53513,-0.26914,0.79708,2.3702,0.69338,3.134,2.3702,2
11,0.008274,1.4641,0.22236,0.16744,0.05312,1.0465,0.18718,0.52821,0.95121,0.24969,2
11,0.017888,1.3493,0.10032,0.14385,0.037837,1.5463,0.14697,0.55564,0.57635,0.2214,2
11,0.017242,1.4149,0.25366,0.15214,0.04008,0.90802,0.27787,0.51882,0.62482,0.34294,2
11,-0.63085,1.1961,-0.54397,0.10537,-0.21967,1.1402,0.68615,0.64276,0.17023,0.87695,2
11,0.012344,0.93656,0.12642,-0.027991,0.077542,0.97695,0.053812,0.41322,0.38665,0.079661,2
12,0.042967,3.2054,0.12941,0.37903,0.091049,1.1115,2.1964,0.5509,3.6947,2.1964,2
12,0.10973,1.3101,0.27124,0.11375,0.15442,1.3787,0.83861,0.48053,1.6522,0.85879,2
12,0.076567,4.9687,0.70051,0.48128,0.15151,0.92432,3.0834,0.60255,5.4936,3.0834,2
